RegionID,SizeRank,RegionName,RegionType,State Name,31-08-2018,30-09-2018,31-10-2018,30-11-2018,31-12-2018,31-01-2019,28-02-2019,31-03-2019,30-04-2019,31-05-2019,30-06-2019,31-07-2019,31-08-2019,30-09-2019,31-10-2019,30-11-2019,31-12-2019,31-01-2020,29-02-2020,31-03-2020,30-04-2020,31-05-2020,30-06-2020,31-07-2020,31-08-2020,30-09-2020,31-10-2020,30-11-2020,31-12-2020,31-01-2021,28-02-2021,31-03-2021,30-04-2021,31-05-2021,30-06-2021,31-07-2021,31-08-2021,30-09-2021,31-10-2021,30-11-2021,31-12-2021,31-01-2022,28-02-2022,31-03-2022,30-04-2022,31-05-2022,30-06-2022,31-07-2022,31-08-2022,30-09-2022,31-10-2022,30-11-2022,31-12-2022,31-01-2023,28-02-2023
395164,142,"Trenton, NJ",msa,Alabama,260098,256913,260319,259803,252406,247613,252127,257451,263578,261914,261389,261875,257338,257356,257541,264160,273589,269190,276018,272914,284804,281855,280149,270599,272594,277440,296517,314277,316563,321789,316805,327111,315107,313418,312188,317151,318263,318856,319084,326148,326205,340324,339595,345172,338197,334920,334700,329131,339656,345875,364897,360465,361858,354875,357526
394875,143,"Montgomery, AL",msa,Illinois,151750,156444,154429,158863,157139,158428,157968,156126,157366,158869,161250,161617,161031,163908,165720,171468,166937,163294,155896,158526,164264,168921,175149,177124,177448,176352,181320,185088,180772,177350,175970,180234,183735,183032,188471,191053,197501,197643,200300,196790,193079,193458,198542,200268,196582,193061,197437,200245,202159,200841,198843,192646,191336,185711,189727
394520,144,"Davenport, IA",msa,Florida,127904,132021,134379,137442,135724,135391,136701,138675,137519,136361,136469,136483,141276,142605,144401,139523,137817,139905,142733,142361,141901,143147,143386,138093,137588,140794,148625,149307,152922,150582,152652,151944,151980,150534,150589,153749,157147,157148,155260,151597,150340,149222,152584,152804,156671,156906,158401,163142,163143,162537,157791,159236,158805,153984,150761
395146,145,"Tallahassee, FL",msa,Oregon,178401,178752,179130,181763,183110,182168,181055,181350,181999,184168,186532,189958,187990,184572,186607,192181,200946,201064,197722,203822,211013,217801,206465,203256,200938,211719,218741,230142,226696,223032,213719,213925,210769,212433,216709,220141,221611,220079,221419,227705,232877,238397,232662,233938,238563,242731,245004,249588,255655,255700,250119,248667,251187,254868,256229
394576,146,"Eugene, OR",msa,Florida,288593,287514,289707,287665,293765,292969,295525,291492,291598,290833,294746,299271,305469,302985,302979,300993,310518,316438,326358,328159,327920,323886,323560,325424,332662,338602,350160,353800,355295,352422,356393,368170,372558,379356,383746,391646,398686,401581,405389,406541,409584,408723,413879,419697,436411,445398,440848,438565,435029,444635,441017,434429,428878,428552,430415
394901,147,"Naples, FL",msa,Michigan,311681,315284,318056,325767,323849,320019,313474,316201,314226,318939,316582,318386,315121,316956,323073,328158,329941,322621,319743,325213,330956,324473,323022,331729,349854,360427,368735,373509,376797,377637,378093,378716,385279,397392,408998,417349,427049,428900,438811,444599,462758,474457,493578,508746,524432,544016,568564,571338,566964,552265,547063,551238,550284,554880,559951
394332,148,"Ann Arbor, MI",msa,Florida,258995,256901,258289,259243,262484,259222,262791,267996,275494,272752,271982,270593,268464,269365,273167,271898,271321,271601,272410,270836,269559,279622,282084,280898,276335,275255,282964,288819,293866,291667,288884,299504,306132,315760,315159,318165,318467,312444,312494,320024,329760,326107,324161,321716,334698,340674,354963,354736,354076,346919,344777,343089,342669,336688,333548
394927,149,"Ocala, FL",msa,North Carolina,152792,153391,155446,156756,158722,158396,159851,158503,158476,156887,159827,161199,161894,158807,158836,160408,164897,167895,168951,170541,171247,167445,166024,164879,171222,173554,178606,181769,183513,183532,182823,187740,196550,204739,207489,212701,216731,228000,229317,232969,235658,240250,247486,249104,256325,259553,265255,267738,269410,266982,264852,263181,261996,258729,262887
394679,150,"Hickory, NC",msa,Ohio,144749,147755,145156,146040,147067,150788,148535,150011,152176,158763,158187,161735,161090,161268,158189,160818,166396,167348,167666,168519,172376,173949,173615,175391,179040,184825,188166,190508,189535,189713,189695,190703,190265,196180,202146,205509,204231,200873,202840,210579,213184,218254,217282,220927,221549,225562,229953,229071,233772,230810,234068,229961,231184,232179,228561
394697,151,"Huntington, WV",msa,Colorado,121681,127999,127403,133395,133166,133083,135152,134976,133499,130461,129170,128799,128887,132784,132976,129342,127181,133192,139397,140496,139488,134089,133038,129965,136297,139704,141829,142495,142201,144053,143949,144701,141559,142270,143583,149251,144200,144218,142871,145409,145198,144079,147523,150710,150067,152009,153302,154924,154592,153027,152403,155352,154208,146623,141969
394602,152,"Fort Collins, CO",msa,Illinois,372787,375212,374167,375939,373594,373661,372500,378364,382582,387561,389928,390001,389263,384993,380577,375853,375441,378995,379699,383193,388152,394124,395053,396986,402420,410510,417913,416907,410287,405333,412958,424346,428654,435788,444217,462869,468542,472930,471309,473782,480298,483468,497752,510005,531986,540217,543738,541895,537635,542631,541407,541657,537430,532076,531988
395033,153,"Rockford, IL",msa,Nebraska,120798,121985,122033,126266,122932,122694,120932,121952,121652,122480,124999,125915,129222,129755,128380,128418,128970,131182,127526,129276,131597,131780,128013,128480,133153,137316,138379,142553,141189,141541,137539,136343,135448,139673,144845,146153,147715,147247,149507,147398,150052,149609,149359,149690,148614,151571,156306,158855,158940,153840,156663,153684,153736,150982,153205
394796,154,"Lincoln, NE",msa,Florida,184900,181499,178989,180718,178692,179225,175354,179201,182047,189091,189515,189360,187036,186028,188409,187544,186005,187151,184661,185688,183307,193714,193551,200931,201758,206335,207603,208712,208795,210626,216120,220151,221920,220650,222268,226780,228146,230280,229769,229832,230182,229389,229219,232636,240207,245353,247037,250491,254127,253042,249983,246821,247540,251750,253568
394622,155,"Gainesville, FL",msa,Colorado,183812,187396,185406,188144,186516,189894,193924,197207,198280,192357,192424,193555,194638,196386,201881,203994,206858,204249,207353,202480,206144,199703,205147,205229,214642,218684,222241,224270,224492,226761,232946,230149,229066,223691,223750,226666,233421,242366,249608,250726,254562,246557,250235,251151,259571,265480,271077,278986,276428,272723,267259,271473,275494,277069,280911
394405,156,"Boulder, CO",msa,Wisconsin,505906,505968,509709,508818,520081,517111,530296,508274,523656,527952,536763,527732,523892,524339,523776,523950,522457,524465,525289,531605,536988,530460,518822,519443,542014,568088,579296,579526,573067,570297,564799,571836,609191,628597,648353,635288,639448,627680,641832,654852,663381,649880,670347,706516,734605,756916,758270,755728,731855,723936,716939,700264,706590,709196,713582
394646,157,"Green Bay, WI",msa,Georgia,170960,167496,171427,175933,176599,173391,173512,171685,177425,177535,184557,186902,187536,187988,186322,187232,184938,183236,180284,182346,184992,186761,186678,188728,194507,196046,199317,199416,200653,198448,195958,200136,202261,208372,211634,222570,227129,228630,228900,237561,241001,234549,229638,233761,246921,253487,253797,248163,248950,253687,265192,264115,262051,259188,256168
394488,158,"Columbus, GA",msa,Indiana,152843,155521,154713,160484,156955,155636,154176,156351,160294,163837,166502,167530,164938,165020,167822,169810,168862,170750,168117,172807,171284,173118,167988,167673,168500,176758,183788,187664,187190,187655,184658,184424,182459,185198,190600,194667,196603,196300,196495,195413,194377,195986,198557,202004,208969,210463,208145,197144,198872,203210,211191,204106,193737,188518,197010
395107,159,"South Bend, IN",msa,South Carolina,134958,137004,133668,134076,130770,137083,137962,138147,136100,138527,142919,141341,142389,143729,144415,142292,142941,143087,143429,145806,152774,154183,152807,150829,154499,153105,154364,157911,165305,163908,161415,154990,158174,161206,164242,169349,171658,176193,174399,177612,178078,176804,172638,179684,186931,192561,192979,197071,193099,198413,189824,193649,185414,189323,195210
